cluster,direction,rank,feature,scaled_mean
0,high,1,Q8_6,0.432
0,high,2,Q8_9,0.416
0,high,3,Q7_5,0.412
0,high,4,Q7_2,0.4
0,high,5,Q8_8,0.398
0,high,6,Q7_3,0.386
0,high,7,Q8_1,0.386
0,high,8,Q7_4,0.38
0,high,9,Q7_7,0.375
0,high,10,Q9_1,0.371
0,high,11,Q7_1,0.369
0,high,12,Q6_5,0.365
0,high,13,Q8_7,0.364
0,high,14,Q7_6,0.33
0,high,15,Q9_3,0.323
0,low,1,Q15A_1,-0.331
0,low,2,Q17A_3,-0.327
0,low,3,Q17A_1,-0.327
0,low,4,Q17A_2,-0.323
0,low,5,Q13A_3,-0.322
0,low,6,Q17A_4,-0.32
0,low,7,Q13A_4,-0.313
0,low,8,Q18A_2,-0.312
0,low,9,Q13A_5,-0.31
0,low,10,Q15A_2,-0.308
0,low,11,Q13A_1,-0.301
0,low,12,Q18A_1,-0.293
0,low,13,Q18A_4,-0.284
0,low,14,Q18A_3,-0.274
0,low,15,Q16A_2,-0.274
1,high,1,Q4C_1,0.152
1,high,2,Q4C_2,0.089
1,high,3,Q5_2,0.086
1,high,4,Q5_5,-0.016
1,high,5,Q5_4,-0.065
1,high,6,Q3,-0.079
1,high,7,Q5_3,-0.19
1,high,8,Q4B_2_1,-0.293
1,high,9,Q11_3,-0.362
1,high,10,Q16B_1,-0.385
1,high,11,Q1_1,-0.386
1,high,12,Q1_2,-0.389
1,high,13,Q4B_1_1,-0.399
1,high,14,Q11_2,-0.401
1,high,15,Q13B_2,-0.406
1,low,1,Q9_1,-1.001
1,low,2,Q8_6,-0.999
1,low,3,Q6_5,-0.988
1,low,4,Q6_4,-0.963
1,low,5,Q8_5,-0.959
1,low,6,Q9_2,-0.957
1,low,7,Q7_3,-0.955
1,low,8,Q6_2,-0.95
1,low,9,Q8_4,-0.948
1,low,10,Q8_3,-0.946
1,low,11,Q6_1,-0.937
1,low,12,Q9_4,-0.934
1,low,13,Q9_3,-0.934
1,low,14,Q6_7,-0.931
1,low,15,Q9_5,-0.929
2,high,1,Q15A_1,1.2
2,high,2,Q15A_2,1.189
2,high,3,Q13A_1,1.183
2,high,4,Q16A_1,1.174
2,high,5,Q13A_4,1.165
2,high,6,Q13A_3,1.165
2,high,7,Q16A_2,1.157
2,high,8,Q13A_5,1.155
2,high,9,Q18A_4,1.15
2,high,10,Q17A_1,1.148
2,high,11,Q13A_2,1.142
2,high,12,Q18A_3,1.13
2,high,13,Q14A_2,1.127
2,high,14,Q18A_1,1.122
2,high,15,Q14A_4,1.121
2,low,1,Q4C_1,-0.168
2,low,2,Q5_2,-0.14
2,low,3,Q4C_2,-0.131
2,low,4,Q5_4,0.019
2,low,5,Q3,0.028
2,low,6,Q5_5,0.116
2,low,7,Q5_3,0.155
2,low,8,Q11_2,0.229
2,low,9,Q13B_2,0.255
2,low,10,Q4B_2_1,0.267
2,low,11,Q10,0.302
2,low,12,Q12B_1,0.335
2,low,13,Q4B_1_1,0.34
2,low,14,Q14B_1,0.342
2,low,15,Q1_1,0.387
