feature,used_for_kmeans,reason
Q1_1,True,디지털 적응 수준 핵심 변수
Q1_2,True,디지털 적응 수준 핵심 변수
Q2K2_1,True,디지털 적응 수준 핵심 변수
Q2K2_2,True,디지털 적응 수준 핵심 변수
Q3,True,디지털 적응 수준 핵심 변수
Q4B_1_1,True,디지털 적응 수준 핵심 변수
Q4B_2_1,True,디지털 적응 수준 핵심 변수
Q4C_1,True,디지털 적응 수준 핵심 변수
Q4C_2,True,디지털 적응 수준 핵심 변수
Q5_1,True,디지털 적응 수준 핵심 변수
Q5_2,True,디지털 적응 수준 핵심 변수
Q5_3,True,디지털 적응 수준 핵심 변수
Q5_4,True,디지털 적응 수준 핵심 변수
Q5_5,True,디지털 적응 수준 핵심 변수
Q6_1,True,디지털 적응 수준 핵심 변수
Q6_2,True,디지털 적응 수준 핵심 변수
Q6_3,True,디지털 적응 수준 핵심 변수
Q6_4,True,디지털 적응 수준 핵심 변수
Q6_5,True,디지털 적응 수준 핵심 변수
Q6_6,True,디지털 적응 수준 핵심 변수
Q6_7,True,디지털 적응 수준 핵심 변수
Q7_1,True,디지털 적응 수준 핵심 변수
Q7_2,True,디지털 적응 수준 핵심 변수
Q7_3,True,디지털 적응 수준 핵심 변수
Q7_4,True,디지털 적응 수준 핵심 변수
Q7_5,True,디지털 적응 수준 핵심 변수
Q7_6,True,디지털 적응 수준 핵심 변수
Q7_7,True,디지털 적응 수준 핵심 변수
Q8_1,True,디지털 적응 수준 핵심 변수
Q8_2,True,디지털 적응 수준 핵심 변수
Q8_3,True,디지털 적응 수준 핵심 변수
Q8_4,True,디지털 적응 수준 핵심 변수
Q8_5,True,디지털 적응 수준 핵심 변수
Q8_6,True,디지털 적응 수준 핵심 변수
Q8_7,True,디지털 적응 수준 핵심 변수
Q8_8,True,디지털 적응 수준 핵심 변수
Q8_9,True,디지털 적응 수준 핵심 변수
Q9_1,True,디지털 적응 수준 핵심 변수
Q9_2,True,디지털 적응 수준 핵심 변수
Q9_3,True,디지털 적응 수준 핵심 변수
Q9_4,True,디지털 적응 수준 핵심 변수
Q9_5,True,디지털 적응 수준 핵심 변수
Q9_6,True,디지털 적응 수준 핵심 변수
Q9_7,True,디지털 적응 수준 핵심 변수
Q9_8,True,디지털 적응 수준 핵심 변수
Q9_9,True,디지털 적응 수준 핵심 변수
Q10,True,디지털 적응 수준 핵심 변수
Q11_1,True,디지털 적응 수준 핵심 변수
Q11_2,True,디지털 적응 수준 핵심 변수
Q11_3,True,디지털 적응 수준 핵심 변수
Q12A_1,True,디지털 적응 수준 핵심 변수
Q12A_2,True,디지털 적응 수준 핵심 변수
Q12A_3,True,디지털 적응 수준 핵심 변수
Q12A_4,True,디지털 적응 수준 핵심 변수
Q12B_1,True,디지털 적응 수준 핵심 변수
Q12B_2,True,디지털 적응 수준 핵심 변수
Q12B_3,True,디지털 적응 수준 핵심 변수
Q12B_4,True,디지털 적응 수준 핵심 변수
Q13A_1,True,디지털 적응 수준 핵심 변수
Q13A_2,True,디지털 적응 수준 핵심 변수
Q13A_3,True,디지털 적응 수준 핵심 변수
Q13A_4,True,디지털 적응 수준 핵심 변수
Q13A_5,True,디지털 적응 수준 핵심 변수
Q13B_1,True,디지털 적응 수준 핵심 변수
Q13B_2,True,디지털 적응 수준 핵심 변수
Q13B_3,True,디지털 적응 수준 핵심 변수
Q13B_4,True,디지털 적응 수준 핵심 변수
Q13B_5,True,디지털 적응 수준 핵심 변수
Q14A_1,True,디지털 적응 수준 핵심 변수
Q14A_2,True,디지털 적응 수준 핵심 변수
Q14A_3,True,디지털 적응 수준 핵심 변수
Q14A_4,True,디지털 적응 수준 핵심 변수
Q14A_5,True,디지털 적응 수준 핵심 변수
Q14B_1,True,디지털 적응 수준 핵심 변수
Q14B_2,True,디지털 적응 수준 핵심 변수
Q14B_3,True,디지털 적응 수준 핵심 변수
Q14B_4,True,디지털 적응 수준 핵심 변수
Q14B_5,True,디지털 적응 수준 핵심 변수
Q15A_1,True,디지털 적응 수준 핵심 변수
Q15A_2,True,디지털 적응 수준 핵심 변수
Q15B_1,True,디지털 적응 수준 핵심 변수
Q15B_2,True,디지털 적응 수준 핵심 변수
Q16A_1,True,디지털 적응 수준 핵심 변수
Q16A_2,True,디지털 적응 수준 핵심 변수
Q16B_1,True,디지털 적응 수준 핵심 변수
Q16B_2,True,디지털 적응 수준 핵심 변수
Q17A_1,True,디지털 적응 수준 핵심 변수
Q17A_2,True,디지털 적응 수준 핵심 변수
Q17A_3,True,디지털 적응 수준 핵심 변수
Q17A_4,True,디지털 적응 수준 핵심 변수
Q17B_1,True,디지털 적응 수준 핵심 변수
Q17B_2,True,디지털 적응 수준 핵심 변수
Q17B_3,True,디지털 적응 수준 핵심 변수
Q17B_4,True,디지털 적응 수준 핵심 변수
Q18A_1,True,디지털 적응 수준 핵심 변수
Q18A_2,True,디지털 적응 수준 핵심 변수
Q18A_3,True,디지털 적응 수준 핵심 변수
Q18A_4,True,디지털 적응 수준 핵심 변수
Q18B_1,True,디지털 적응 수준 핵심 변수
Q18B_2,True,디지털 적응 수준 핵심 변수
Q18B_3,True,디지털 적응 수준 핵심 변수
Q18B_4,True,디지털 적응 수준 핵심 변수
