row_id,split,cluster
0,train,1
1,train,2
2,train,2
3,train,1
4,train,0
5,train,0
6,train,0
7,train,0
8,train,0
9,train,1
10,train,0
11,train,2
12,train,2
13,train,1
14,train,0
15,train,0
16,train,2
17,train,2
18,train,2
19,train,1
20,train,1
21,train,2
22,train,2
23,train,0
24,train,2
25,train,1
26,train,0
27,train,2
28,train,2
29,train,1
30,train,1
31,train,0
32,train,1
33,train,1
34,train,1
35,train,0
36,train,0
37,train,0
38,train,2
39,train,2
40,train,2
41,train,0
42,train,2
43,train,2
44,train,2
45,train,0
46,train,1
47,train,1
48,train,2
49,train,1
50,train,2
51,train,1
52,train,2
53,train,2
54,train,0
55,train,1
56,train,2
57,train,2
58,train,0
59,train,0
60,train,0
61,train,2
62,train,2
63,train,2
64,train,0
65,train,2
66,train,0
67,train,0
68,train,0
69,train,1
70,train,0
71,train,2
72,train,1
73,train,2
74,train,2
75,train,0
76,train,1
77,train,0
78,train,2
79,train,1
80,train,0
81,train,2
82,train,2
83,train,0
84,train,0
85,train,0
86,train,1
87,train,1
88,train,1
89,train,1
90,train,1
91,train,1
92,train,0
93,train,0
94,train,2
95,train,0
96,train,2
97,train,0
98,train,0
99,train,0
100,train,2
101,train,2
102,train,1
103,train,0
104,train,0
105,train,1
106,train,0
107,train,1
108,train,1
109,train,2
110,train,2
111,train,0
112,train,0
113,train,0
114,train,0
115,train,0
116,train,0
117,train,1
118,train,2
119,train,0
120,train,1
121,train,2
122,train,1
123,train,2
124,train,2
125,train,1
126,train,1
127,train,0
128,train,2
129,train,1
130,train,1
131,train,2
132,train,2
133,train,2
134,train,0
135,train,0
136,train,0
137,train,1
138,train,1
139,train,2
140,train,1
141,train,0
142,train,2
143,train,1
144,train,0
145,train,0
146,train,1
147,train,1
148,train,1
149,train,2
150,train,0
151,train,2
152,train,0
153,train,0
154,train,1
155,train,2
156,train,1
157,train,0
158,train,2
159,train,2
160,train,2
161,train,1
162,train,0
163,train,2
164,train,0
165,train,2
166,train,1
167,train,0
168,train,0
169,train,1
170,train,2
171,train,0
172,train,0
173,train,0
174,train,1
175,train,2
176,train,1
177,train,1
178,train,2
179,train,1
180,train,1
181,train,0
182,train,2
183,train,2
184,train,1
185,train,2
186,train,1
187,train,0
188,train,0
189,train,0
190,train,2
191,train,0
192,train,2
193,train,1
194,train,0
195,train,2
196,train,2
197,train,0
198,train,0
199,train,2
200,train,2
201,train,1
202,train,2
203,train,0
204,train,0
205,train,1
206,train,2
207,train,0
208,train,2
209,train,2
210,train,0
211,train,0
212,train,0
213,train,0
214,train,0
215,train,2
216,train,0
217,train,0
218,train,0
219,train,2
220,train,1
221,train,0
222,train,0
223,train,1
224,train,1
225,train,1
226,train,0
227,train,1
228,train,2
229,train,2
230,train,1
231,train,0
232,train,2
233,train,2
234,train,0
235,train,0
236,train,2
237,train,0
238,train,0
239,train,0
240,train,0
241,train,1
242,train,2
243,train,0
244,train,2
245,train,0
246,train,1
247,train,0
248,train,0
249,train,1
250,train,1
251,train,1
252,train,1
253,train,0
254,train,2
255,train,0
256,train,0
257,train,1
258,train,2
259,train,2
260,train,2
261,train,1
262,train,1
263,train,1
264,train,2
265,train,1
266,train,0
267,train,0
268,train,1
269,train,1
270,train,2
271,train,0
272,train,0
273,train,1
274,train,1
275,train,2
276,train,0
277,train,2
278,train,1
279,train,1
280,train,1
281,train,2
282,train,0
283,train,1
284,train,0
285,train,1
286,train,2
287,train,1
288,train,1
289,train,0
290,train,1
291,train,1
292,train,2
293,train,2
294,train,2
295,train,1
296,train,0
297,train,2
298,train,1
299,train,1
300,train,0
301,train,0
302,train,1
303,train,1
304,train,0
305,train,0
306,train,2
307,train,2
308,train,1
309,train,1
310,train,2
311,train,1
312,train,2
313,train,1
314,train,2
315,train,1
316,train,0
317,train,1
318,train,0
319,train,1
320,train,0
321,train,2
322,train,1
323,train,1
324,train,1
325,train,2
326,train,2
327,train,0
328,train,0
329,train,1
330,train,2
331,train,0
332,train,2
333,train,2
334,train,2
335,train,2
336,train,0
337,train,0
338,train,2
339,train,0
340,train,1
341,train,2
342,train,2
343,train,1
344,train,1
345,train,1
346,train,0
347,train,1
348,train,0
349,train,1
350,train,1
351,train,1
352,train,2
353,train,0
354,train,1
355,train,2
356,train,0
357,train,1
358,train,0
359,train,1
360,train,0
361,train,0
362,train,1
363,train,1
364,train,1
365,train,1
366,train,0
367,train,1
368,train,2
369,train,2
370,train,1
371,train,0
372,train,2
373,train,0
374,train,0
375,train,1
376,train,2
377,train,1
378,train,2
379,train,2
380,train,2
381,train,1
382,train,0
383,train,0
384,train,0
385,train,1
386,train,0
387,train,2
388,train,0
389,train,1
390,train,1
391,train,1
392,train,1
393,train,2
394,train,0
395,train,0
396,train,0
397,train,2
398,train,1
399,train,2
400,train,2
401,train,1
402,train,2
403,train,2
404,train,2
405,train,2
406,train,0
407,train,0
408,train,0
409,train,0
410,train,0
411,train,1
412,train,0
413,train,0
414,train,0
415,train,0
416,train,1
417,train,1
418,train,1
419,train,1
420,train,1
421,train,1
422,train,2
423,train,1
424,train,1
425,train,1
426,train,0
427,train,1
428,train,0
429,train,0
430,train,1
431,train,1
432,train,2
433,train,1
434,train,2
435,train,0
436,train,1
437,train,1
438,train,2
439,train,0
440,train,2
441,train,2
442,train,2
443,train,2
444,train,0
445,train,1
446,train,1
447,train,1
448,train,1
449,train,1
450,train,0
451,train,0
452,train,2
453,train,0
454,train,1
455,train,1
456,train,0
457,train,2
458,train,0
459,train,1
460,train,1
461,train,0
462,train,0
463,train,2
464,train,0
465,train,1
466,train,2
467,train,1
468,train,1
469,train,1
470,train,0
471,train,1
472,train,0
473,train,2
474,train,1
475,train,1
476,train,0
477,train,0
478,train,0
479,train,2
480,train,0
481,train,2
482,train,0
483,train,0
484,train,2
485,train,1
486,train,0
487,train,0
488,train,2
489,train,1
490,train,1
491,train,2
492,train,0
493,train,0
494,train,2
495,train,0
496,train,1
497,train,0
498,train,2
499,train,1
500,train,0
501,train,0
502,train,0
503,train,2
504,train,1
505,train,0
506,train,1
507,train,1
508,train,1
509,train,2
510,train,1
511,train,0
512,train,1
513,train,2
514,train,2
515,train,1
516,train,1
517,train,0
518,train,2
519,train,0
520,train,2
521,train,0
522,train,0
523,train,0
524,train,0
525,train,0
526,train,1
527,train,1
528,train,1
529,train,1
530,train,0
531,train,1
532,train,0
533,train,1
534,train,1
535,train,0
536,train,1
537,train,1
538,train,2
539,train,1
540,train,2
541,train,0
542,train,0
543,train,0
544,train,2
545,train,1
546,train,2
547,train,0
548,train,0
549,train,0
550,train,1
551,train,2
552,train,1
553,train,0
554,train,0
555,train,1
556,train,2
557,train,1
558,train,1
559,train,2
560,train,1
561,train,0
562,train,0
563,train,1
564,train,2
565,train,2
566,train,2
567,train,0
568,train,1
569,train,0
570,train,0
571,train,0
572,train,1
573,train,0
574,train,1
575,train,1
576,train,2
577,train,2
578,train,2
579,train,1
580,train,2
581,train,0
582,train,0
583,train,0
584,train,0
585,train,0
586,train,2
587,train,1
588,train,0
589,train,0
590,train,0
591,train,0
592,train,1
593,train,1
594,train,0
595,train,1
596,train,0
597,train,0
598,train,1
599,train,0
600,train,2
601,train,0
602,train,2
603,train,2
604,train,2
605,train,1
606,train,1
607,train,0
608,train,1
609,train,1
610,train,2
611,train,1
612,train,2
613,train,0
614,train,1
615,train,2
616,train,0
617,train,1
618,train,1
619,train,1
620,train,2
621,train,1
622,train,1
623,train,0
624,train,2
625,train,2
626,train,2
627,train,0
628,train,1
629,train,2
630,train,0
631,train,0
632,train,0
633,train,2
634,train,2
635,train,1
636,train,1
637,train,0
638,train,2
639,train,1
640,train,1
641,train,1
642,train,0
643,train,2
644,train,1
645,train,2
646,train,2
647,train,0
648,train,2
649,train,1
650,train,1
651,train,1
652,train,0
653,train,0
654,train,1
655,train,1
656,train,2
657,train,0
658,train,2
659,train,0
660,train,0
661,train,1
662,train,1
663,train,0
664,train,0
665,train,0
666,train,1
667,train,1
668,train,2
669,train,0
670,train,1
671,train,0
672,train,1
673,train,1
674,train,1
675,train,2
676,train,0
677,train,0
678,train,1
679,train,0
680,train,2
681,train,1
682,train,1
683,train,0
684,train,1
685,train,2
686,train,2
687,train,0
688,train,0
689,train,0
690,train,1
691,train,0
692,train,1
693,train,2
694,train,2
695,train,2
696,train,1
697,train,0
698,train,0
699,train,2
700,train,1
701,train,0
702,train,2
703,train,0
704,train,0
705,train,0
706,train,1
707,train,1
708,train,1
709,train,1
710,train,1
711,train,2
712,train,0
713,train,0
714,train,2
715,train,0
716,train,1
717,train,1
718,train,1
719,train,2
720,train,0
721,train,1
722,train,1
723,train,1
724,train,2
725,train,2
726,train,0
727,train,1
728,train,1
729,train,1
730,train,2
731,train,1
732,train,2
733,train,0
734,train,2
735,train,1
736,train,1
737,train,1
738,train,1
739,train,2
740,train,1
741,train,2
742,train,0
743,train,0
744,train,2
745,train,2
746,train,1
747,train,2
748,train,2
749,train,2
750,train,1
751,train,0
752,train,0
753,train,1
754,train,2
755,train,1
756,train,0
757,train,0
758,train,0
759,train,2
760,train,0
761,train,1
762,train,2
763,train,1
764,train,1
765,train,0
766,train,2
767,train,1
768,train,0
769,train,0
770,train,1
771,train,1
772,train,2
773,train,0
774,train,0
775,train,1
776,train,0
777,train,0
778,train,0
779,train,1
780,train,2
781,train,1
782,train,1
783,train,2
784,train,0
785,train,2
786,train,2
787,train,2
788,train,2
789,train,0
790,train,0
791,train,2
792,train,0
793,train,0
794,train,0
795,train,2
796,train,2
797,train,0
798,train,2
799,train,1
800,train,1
801,train,0
802,train,1
803,train,0
804,train,0
805,train,2
806,train,1
807,train,1
808,train,1
809,train,1
810,train,2
811,train,2
812,train,2
813,train,2
814,train,1
815,train,2
816,train,1
817,train,2
818,train,1
819,train,0
820,train,0
