row_id,GROUP,YEAR,split,연령,성별,직업,학력,가구구성형태,가구소득,거주지역
0,장애인,2025,train,6.0,1.0,14.0,3.0,1.0,1.0,9.0
1,일반국민,2025,train,2.0,2.0,4.0,4.0,1.0,7.0,2.0
2,일반국민,2024,train,44.0,2.0,11.0,4.0,2.0,5.0,1.0
3,농어민,2024,train,59.0,1.0,6.0,3.0,2.0,3.0,14.0
4,일반국민,2024,train,48.0,1.0,8.0,3.0,2.0,5.0,2.0
5,일반국민,2025,train,2.0,2.0,13.0,3.0,1.0,8.0,11.0
6,저소득층,2025,train,1.0,2.0,13.0,3.0,2.0,2.0,2.0
7,일반국민,2024,train,62.0,2.0,11.0,3.0,2.0,5.0,11.0
8,농어민,2024,train,54.0,2.0,6.0,4.0,2.0,5.0,12.0
9,농어민,2025,train,4.0,2.0,6.0,1.0,1.0,1.0,14.0
10,장애인,2025,train,3.0,2.0,5.0,3.0,2.0,4.0,2.0
11,일반국민,2024,train,56.0,2.0,11.0,4.0,2.0,6.0,4.0
12,고령층,2025,train,2.0,2.0,11.0,2.0,2.0,2.0,5.0
13,농어민,2024,train,68.0,1.0,6.0,3.0,2.0,4.0,12.0
14,일반국민,2024,train,23.0,2.0,4.0,3.0,2.0,5.0,17.0
15,저소득층,2025,train,5.0,1.0,14.0,3.0,1.0,1.0,4.0
16,고령층,2025,train,2.0,1.0,9.0,3.0,1.0,3.0,12.0
17,장애인,2024,train,45.0,2.0,3.0,4.0,2.0,9.0,1.0
18,저소득층,2025,train,6.0,2.0,11.0,2.0,2.0,2.0,7.0
19,농어민,2024,train,67.0,1.0,6.0,2.0,2.0,7.0,16.0
20,저소득층,2024,train,56.0,2.0,9.0,2.0,2.0,2.0,12.0
21,일반국민,2025,train,1.0,1.0,13.0,3.0,2.0,6.0,2.0
22,일반국민,2025,train,2.0,1.0,3.0,4.0,2.0,5.0,4.0
23,일반국민,2025,train,5.0,2.0,4.0,3.0,2.0,6.0,9.0
24,일반국민,2024,train,29.0,2.0,3.0,4.0,2.0,8.0,8.0
25,고령층,2025,train,3.0,1.0,4.0,3.0,9997.0,5.0,5.0
26,일반국민,2025,train,1.0,2.0,12.0,2.0,2.0,7.0,9.0
27,일반국민,2024,train,70.0,2.0,11.0,2.0,1.0,2.0,14.0
28,저소득층,2024,train,21.0,2.0,12.0,3.0,2.0,2.0,16.0
29,농어민,2025,train,5.0,1.0,6.0,3.0,2.0,4.0,13.0
30,일반국민,2024,train,67.0,1.0,8.0,3.0,2.0,4.0,16.0
31,고령층,2024,train,55.0,2.0,11.0,3.0,2.0,3.0,16.0
32,농어민,2024,train,75.0,1.0,6.0,2.0,2.0,2.0,9.0
33,농어민,2024,train,75.0,1.0,6.0,2.0,2.0,2.0,16.0
34,농어민,2025,train,5.0,2.0,6.0,3.0,2.0,4.0,15.0
35,농어민,2025,train,4.0,2.0,6.0,3.0,2.0,6.0,6.0
36,저소득층,2025,train,4.0,1.0,7.0,3.0,1.0,1.0,7.0
37,일반국민,2025,train,1.0,1.0,12.0,1.0,2.0,6.0,13.0
38,일반국민,2025,train,5.0,2.0,11.0,3.0,2.0,6.0,4.0
39,일반국민,2025,train,1.0,1.0,12.0,3.0,2.0,6.0,4.0
40,일반국민,2025,train,2.0,1.0,5.0,3.0,1.0,2.0,10.0
41,장애인,2025,train,5.0,1.0,7.0,3.0,2.0,5.0,12.0
42,일반국민,2024,train,32.0,1.0,3.0,4.0,2.0,8.0,6.0
43,일반국민,2025,train,4.0,2.0,9.0,3.0,3.0,3.0,17.0
44,저소득층,2025,train,5.0,2.0,7.0,4.0,2.0,7.0,15.0
45,고령층,2025,train,1.0,1.0,14.0,3.0,3.0,2.0,4.0
46,고령층,2025,train,2.0,1.0,5.0,2.0,1.0,4.0,15.0
47,일반국민,2024,train,72.0,2.0,14.0,2.0,1.0,3.0,2.0
48,일반국민,2025,train,2.0,2.0,4.0,4.0,3.0,4.0,2.0
49,장애인,2025,train,6.0,1.0,14.0,2.0,2.0,2.0,2.0
50,저소득층,2025,train,6.0,1.0,14.0,3.0,2.0,2.0,9.0
51,저소득층,2025,train,6.0,2.0,11.0,2.0,2.0,2.0,2.0
52,저소득층,2025,train,4.0,2.0,4.0,3.0,2.0,2.0,1.0
53,일반국민,2025,train,2.0,1.0,14.0,4.0,9997.0,1.0,16.0
54,일반국민,2024,train,32.0,2.0,3.0,4.0,2.0,7.0,17.0
55,농어민,2024,train,55.0,2.0,6.0,1.0,2.0,3.0,12.0
56,일반국민,2025,train,2.0,2.0,13.0,3.0,2.0,7.0,3.0
57,일반국민,2025,train,2.0,2.0,13.0,4.0,2.0,7.0,16.0
58,일반국민,2024,train,49.0,1.0,3.0,4.0,2.0,5.0,5.0
59,장애인,2024,train,42.0,2.0,11.0,4.0,2.0,4.0,9.0
60,일반국민,2024,train,17.0,2.0,12.0,2.0,2.0,5.0,10.0
61,일반국민,2025,train,4.0,1.0,3.0,4.0,2.0,10.0,12.0
62,일반국민,2025,train,2.0,2.0,5.0,3.0,2.0,6.0,2.0
63,일반국민,2025,train,4.0,2.0,2.0,4.0,2.0,8.0,3.0
64,일반국민,2024,train,65.0,2.0,11.0,2.0,2.0,6.0,5.0
65,일반국민,2024,train,27.0,2.0,3.0,4.0,1.0,3.0,10.0
66,일반국민,2025,train,3.0,2.0,4.0,4.0,3.0,8.0,16.0
67,저소득층,2025,train,4.0,2.0,6.0,3.0,2.0,3.0,12.0
68,고령층,2025,train,2.0,1.0,9.0,4.0,1.0,6.0,17.0
69,저소득층,2025,train,1.0,2.0,12.0,1.0,2.0,4.0,13.0
70,장애인,2025,train,3.0,2.0,11.0,3.0,2.0,5.0,12.0
71,일반국민,2024,train,35.0,1.0,3.0,4.0,2.0,6.0,3.0
72,일반국민,2024,train,65.0,1.0,3.0,1.0,1.0,1.0,15.0
73,고령층,2024,train,55.0,1.0,3.0,4.0,2.0,8.0,14.0
74,농어민,2024,train,57.0,2.0,6.0,3.0,2.0,2.0,9.0
75,농어민,2025,train,4.0,1.0,6.0,3.0,1.0,1.0,15.0
76,장애인,2025,train,4.0,2.0,11.0,3.0,2.0,4.0,15.0
77,일반국민,2025,train,1.0,1.0,12.0,2.0,1.0,3.0,13.0
78,일반국민,2025,train,2.0,2.0,13.0,3.0,3.0,2.0,1.0
79,농어민,2024,train,57.0,1.0,6.0,3.0,2.0,6.0,17.0
80,일반국민,2025,train,6.0,1.0,8.0,4.0,1.0,11.0,14.0
81,일반국민,2025,train,4.0,1.0,5.0,4.0,3.0,5.0,15.0
82,고령층,2025,train,1.0,1.0,2.0,4.0,3.0,9.0,9.0
83,장애인,2025,train,4.0,1.0,7.0,3.0,2.0,3.0,8.0
84,농어민,2024,train,26.0,1.0,6.0,4.0,2.0,4.0,17.0
85,고령층,2024,train,63.0,2.0,5.0,3.0,2.0,6.0,3.0
86,고령층,2024,train,73.0,2.0,4.0,3.0,2.0,2.0,10.0
87,일반국민,2025,train,6.0,1.0,14.0,2.0,2.0,1.0,1.0
88,일반국민,2024,train,83.0,2.0,11.0,1.0,1.0,1.0,9.0
89,농어민,2024,train,65.0,2.0,6.0,2.0,2.0,3.0,16.0
90,장애인,2024,train,64.0,2.0,9997.0,2.0,2.0,3.0,5.0
91,장애인,2025,train,1.0,2.0,12.0,1.0,2.0,4.0,9.0
92,저소득층,2025,train,4.0,2.0,4.0,4.0,2.0,3.0,3.0
93,농어민,2025,train,4.0,1.0,6.0,3.0,2.0,4.0,3.0
94,일반국민,2025,train,2.0,1.0,3.0,4.0,1.0,8.0,10.0
95,일반국민,2024,train,59.0,1.0,6.0,3.0,2.0,2.0,14.0
96,일반국민,2025,train,4.0,2.0,3.0,4.0,2.0,7.0,2.0
97,농어민,2024,train,57.0,1.0,6.0,3.0,2.0,4.0,12.0
98,일반국민,2025,train,2.0,1.0,7.0,3.0,2.0,7.0,12.0
99,농어민,2025,train,5.0,1.0,6.0,3.0,2.0,8.0,15.0
100,장애인,2025,train,5.0,1.0,3.0,3.0,2.0,5.0,2.0
101,저소득층,2025,train,1.0,2.0,12.0,2.0,2.0,3.0,8.0
102,저소득층,2024,train,68.0,2.0,4.0,2.0,2.0,2.0,10.0
103,농어민,2025,train,4.0,2.0,6.0,3.0,1.0,3.0,9.0
104,고령층,2025,train,1.0,1.0,14.0,2.0,3.0,1.0,4.0
105,저소득층,2024,train,63.0,1.0,11.0,2.0,1.0,1.0,16.0
106,저소득층,2024,train,35.0,1.0,3.0,4.0,2.0,1.0,11.0
107,일반국민,2024,train,68.0,1.0,14.0,3.0,2.0,4.0,14.0
108,일반국민,2025,train,6.0,2.0,11.0,3.0,2.0,6.0,9.0
109,농어민,2025,train,5.0,1.0,6.0,3.0,2.0,5.0,3.0
110,일반국민,2024,train,12.0,2.0,12.0,1.0,2.0,7.0,7.0
111,장애인,2025,train,4.0,2.0,3.0,4.0,2.0,6.0,3.0
112,일반국민,2024,train,45.0,2.0,5.0,3.0,2.0,5.0,14.0
113,농어민,2024,train,56.0,2.0,6.0,2.0,2.0,3.0,5.0
114,농어민,2025,train,3.0,2.0,6.0,3.0,2.0,3.0,14.0
115,일반국민,2024,train,14.0,1.0,12.0,1.0,2.0,6.0,5.0
116,일반국민,2025,train,4.0,2.0,11.0,3.0,2.0,11.0,17.0
117,저소득층,2024,train,56.0,1.0,8.0,3.0,2.0,2.0,13.0
118,저소득층,2025,train,5.0,1.0,14.0,3.0,1.0,1.0,4.0
119,고령층,2025,train,1.0,2.0,9.0,2.0,1.0,3.0,12.0
120,일반국민,2024,train,65.0,2.0,11.0,3.0,2.0,4.0,6.0
121,일반국민,2024,train,52.0,2.0,3.0,4.0,1.0,4.0,9.0
122,저소득층,2024,train,61.0,2.0,11.0,3.0,2.0,3.0,3.0
123,저소득층,2024,train,65.0,1.0,8.0,3.0,2.0,2.0,7.0
124,고령층,2024,train,55.0,1.0,3.0,4.0,2.0,9.0,11.0
125,농어민,2025,train,5.0,2.0,6.0,3.0,2.0,4.0,15.0
126,고령층,2024,train,76.0,2.0,11.0,2.0,2.0,3.0,12.0
127,장애인,2025,train,6.0,1.0,9.0,3.0,2.0,2.0,3.0
128,장애인,2025,train,5.0,1.0,5.0,3.0,2.0,7.0,5.0
129,일반국민,2024,train,72.0,1.0,14.0,3.0,2.0,4.0,1.0
130,장애인,2025,train,6.0,2.0,11.0,2.0,1.0,1.0,3.0
131,일반국민,2024,train,70.0,2.0,7.0,3.0,2.0,6.0,12.0
132,일반국민,2024,train,28.0,2.0,3.0,4.0,2.0,9.0,9.0
133,일반국민,2025,train,4.0,1.0,4.0,4.0,2.0,6.0,9.0
134,저소득층,2025,train,6.0,2.0,9.0,3.0,2.0,4.0,5.0
135,농어민,2025,train,4.0,1.0,6.0,3.0,2.0,4.0,9.0
136,일반국민,2024,train,45.0,2.0,5.0,4.0,2.0,5.0,9.0
137,농어민,2024,train,76.0,2.0,6.0,2.0,2.0,3.0,16.0
138,일반국민,2024,train,73.0,1.0,14.0,2.0,2.0,2.0,15.0
139,일반국민,2025,train,4.0,2.0,5.0,3.0,2.0,7.0,11.0
140,농어민,2024,train,72.0,1.0,6.0,1.0,2.0,3.0,15.0
141,고령층,2024,train,57.0,1.0,7.0,3.0,2.0,4.0,15.0
142,장애인,2025,train,3.0,2.0,3.0,4.0,1.0,3.0,14.0
143,장애인,2025,train,6.0,1.0,14.0,2.0,1.0,2.0,7.0
144,고령층,2024,train,66.0,2.0,11.0,3.0,2.0,5.0,9.0
145,고령층,2024,train,68.0,1.0,9.0,2.0,2.0,3.0,3.0
146,장애인,2025,train,3.0,1.0,14.0,1.0,2.0,3.0,14.0
147,장애인,2024,train,61.0,1.0,9.0,4.0,2.0,3.0,17.0
148,일반국민,2025,train,6.0,2.0,5.0,3.0,2.0,5.0,7.0
149,일반국민,2025,train,4.0,2.0,4.0,4.0,2.0,3.0,4.0
150,장애인,2024,train,44.0,1.0,14.0,3.0,2.0,4.0,5.0
151,일반국민,2025,train,3.0,1.0,3.0,4.0,2.0,6.0,7.0
152,농어민,2025,train,3.0,1.0,6.0,3.0,2.0,6.0,6.0
153,일반국민,2024,train,28.0,2.0,3.0,4.0,2.0,7.0,13.0
154,농어민,2024,train,58.0,2.0,6.0,3.0,2.0,4.0,14.0
155,저소득층,2025,train,5.0,1.0,14.0,2.0,1.0,1.0,5.0
156,고령층,2025,train,2.0,1.0,3.0,3.0,3.0,4.0,1.0
157,일반국민,2025,train,4.0,2.0,11.0,4.0,3.0,5.0,1.0
158,일반국민,2025,train,1.0,2.0,12.0,2.0,1.0,6.0,9.0
159,고령층,2024,train,66.0,2.0,11.0,4.0,2.0,5.0,4.0
160,일반국민,2025,train,4.0,2.0,4.0,4.0,2.0,8.0,9.0
161,장애인,2024,train,66.0,2.0,11.0,2.0,2.0,3.0,8.0
162,저소득층,2025,train,1.0,1.0,12.0,2.0,2.0,2.0,9.0
163,일반국민,2024,train,27.0,2.0,3.0,4.0,2.0,5.0,5.0
164,농어민,2025,train,5.0,2.0,6.0,3.0,2.0,2.0,9.0
165,일반국민,2024,train,20.0,2.0,13.0,3.0,2.0,11.0,9.0
166,고령층,2024,train,77.0,1.0,14.0,1.0,2.0,2.0,1.0
167,일반국민,2024,train,48.0,2.0,11.0,3.0,2.0,5.0,16.0
168,일반국민,2025,train,5.0,1.0,8.0,3.0,2.0,6.0,15.0
169,일반국민,2024,train,75.0,1.0,9.0,2.0,2.0,2.0,16.0
170,일반국민,2025,train,2.0,1.0,13.0,3.0,2.0,6.0,4.0
171,일반국민,2025,train,6.0,2.0,11.0,3.0,1.0,3.0,13.0
172,저소득층,2024,train,52.0,1.0,7.0,3.0,2.0,3.0,7.0
173,장애인,2025,train,5.0,1.0,9.0,3.0,2.0,4.0,14.0
174,일반국민,2025,train,6.0,2.0,11.0,3.0,1.0,4.0,3.0
175,일반국민,2025,train,2.0,2.0,13.0,3.0,1.0,7.0,2.0
176,일반국민,2024,train,66.0,1.0,6.0,4.0,2.0,9.0,3.0
177,농어민,2025,train,5.0,2.0,6.0,3.0,2.0,3.0,6.0
178,일반국민,2025,train,5.0,2.0,3.0,4.0,2.0,7.0,2.0
179,일반국민,2025,train,6.0,1.0,14.0,3.0,1.0,3.0,13.0
180,일반국민,2025,train,5.0,2.0,4.0,3.0,2.0,6.0,2.0
181,일반국민,2024,train,42.0,1.0,4.0,3.0,2.0,7.0,13.0
182,저소득층,2025,train,2.0,1.0,7.0,3.0,2.0,3.0,10.0
183,장애인,2024,train,42.0,1.0,5.0,3.0,2.0,4.0,16.0
184,일반국민,2025,train,6.0,2.0,11.0,2.0,3.0,3.0,9.0
185,일반국민,2024,train,18.0,1.0,13.0,3.0,2.0,6.0,2.0
186,일반국민,2024,train,9.0,2.0,12.0,1.0,2.0,3.0,15.0
187,일반국민,2024,train,56.0,2.0,7.0,3.0,2.0,6.0,16.0
188,일반국민,2025,train,4.0,1.0,3.0,4.0,2.0,5.0,15.0
189,일반국민,2024,train,61.0,2.0,4.0,3.0,2.0,4.0,15.0
190,장애인,2024,train,53.0,1.0,9.0,3.0,2.0,8.0,12.0
191,장애인,2024,train,61.0,2.0,9997.0,4.0,2.0,8.0,9.0
192,장애인,2024,train,46.0,1.0,3.0,4.0,2.0,4.0,16.0
193,농어민,2024,train,62.0,2.0,6.0,2.0,2.0,3.0,12.0
194,농어민,2024,train,63.0,1.0,6.0,2.0,2.0,3.0,13.0
195,일반국민,2025,train,3.0,2.0,5.0,3.0,3.0,5.0,4.0
196,고령층,2024,train,58.0,1.0,5.0,4.0,2.0,7.0,11.0
197,고령층,2024,train,62.0,2.0,11.0,3.0,2.0,5.0,11.0
198,장애인,2025,train,3.0,2.0,14.0,3.0,1.0,1.0,15.0
199,농어민,2024,train,42.0,1.0,6.0,3.0,2.0,3.0,15.0
200,일반국민,2025,train,1.0,2.0,12.0,2.0,1.0,4.0,12.0
201,고령층,2024,train,74.0,2.0,5.0,1.0,2.0,8.0,13.0
