row_id,split,cluster,digital_stage,digital_stage_name
0,train,1,1,1단계_완전_소외
1,train,2,3,3단계_자립_적응
2,train,2,3,3단계_자립_적응
3,train,1,1,1단계_완전_소외
4,train,0,2,2단계_부분_적응
5,train,0,2,2단계_부분_적응
6,train,0,2,2단계_부분_적응
7,train,0,2,2단계_부분_적응
8,train,0,2,2단계_부분_적응
9,train,1,1,1단계_완전_소외
10,train,0,2,2단계_부분_적응
11,train,2,3,3단계_자립_적응
12,train,2,3,3단계_자립_적응
13,train,1,1,1단계_완전_소외
14,train,0,2,2단계_부분_적응
15,train,0,2,2단계_부분_적응
16,train,2,3,3단계_자립_적응
17,train,2,3,3단계_자립_적응
18,train,2,3,3단계_자립_적응
19,train,1,1,1단계_완전_소외
20,train,1,1,1단계_완전_소외
21,train,2,3,3단계_자립_적응
22,train,2,3,3단계_자립_적응
23,train,0,2,2단계_부분_적응
24,train,2,3,3단계_자립_적응
25,train,1,1,1단계_완전_소외
26,train,0,2,2단계_부분_적응
27,train,2,3,3단계_자립_적응
28,train,2,3,3단계_자립_적응
29,train,1,1,1단계_완전_소외
30,train,1,1,1단계_완전_소외
31,train,0,2,2단계_부분_적응
32,train,1,1,1단계_완전_소외
33,train,1,1,1단계_완전_소외
34,train,1,1,1단계_완전_소외
35,train,0,2,2단계_부분_적응
36,train,0,2,2단계_부분_적응
37,train,0,2,2단계_부분_적응
38,train,2,3,3단계_자립_적응
39,train,2,3,3단계_자립_적응
40,train,2,3,3단계_자립_적응
41,train,0,2,2단계_부분_적응
42,train,2,3,3단계_자립_적응
43,train,2,3,3단계_자립_적응
44,train,2,3,3단계_자립_적응
45,train,0,2,2단계_부분_적응
46,train,1,1,1단계_완전_소외
47,train,1,1,1단계_완전_소외
48,train,2,3,3단계_자립_적응
49,train,1,1,1단계_완전_소외
50,train,2,3,3단계_자립_적응
51,train,1,1,1단계_완전_소외
52,train,2,3,3단계_자립_적응
53,train,2,3,3단계_자립_적응
54,train,0,2,2단계_부분_적응
55,train,1,1,1단계_완전_소외
56,train,2,3,3단계_자립_적응
57,train,2,3,3단계_자립_적응
58,train,0,2,2단계_부분_적응
59,train,0,2,2단계_부분_적응
60,train,0,2,2단계_부분_적응
61,train,2,3,3단계_자립_적응
62,train,2,3,3단계_자립_적응
63,train,2,3,3단계_자립_적응
64,train,0,2,2단계_부분_적응
65,train,2,3,3단계_자립_적응
66,train,0,2,2단계_부분_적응
67,train,0,2,2단계_부분_적응
68,train,0,2,2단계_부분_적응
69,train,1,1,1단계_완전_소외
70,train,0,2,2단계_부분_적응
71,train,2,3,3단계_자립_적응
72,train,1,1,1단계_완전_소외
73,train,2,3,3단계_자립_적응
74,train,2,3,3단계_자립_적응
75,train,0,2,2단계_부분_적응
76,train,1,1,1단계_완전_소외
77,train,0,2,2단계_부분_적응
78,train,2,3,3단계_자립_적응
79,train,1,1,1단계_완전_소외
80,train,0,2,2단계_부분_적응
81,train,2,3,3단계_자립_적응
82,train,2,3,3단계_자립_적응
83,train,0,2,2단계_부분_적응
84,train,0,2,2단계_부분_적응
85,train,0,2,2단계_부분_적응
86,train,1,1,1단계_완전_소외
87,train,1,1,1단계_완전_소외
88,train,1,1,1단계_완전_소외
89,train,1,1,1단계_완전_소외
90,train,1,1,1단계_완전_소외
91,train,1,1,1단계_완전_소외
92,train,0,2,2단계_부분_적응
