cluster,direction,rank,feature,scaled_mean
0,high,1,Q25,0.273
0,high,2,Q1_2,0.268
0,high,3,Q31_2,0.257
0,high,4,Q28_4,0.234
0,high,5,Q28_3,0.228
0,high,6,Q28_2,0.217
0,high,7,Q31_1,0.185
0,high,8,Q28_5,0.163
0,high,9,Q5_2,0.144
0,high,10,Q28_1,0.125
0,high,11,Q30,0.11
0,high,12,Q11_2,0.107
0,high,13,Q8_7,0.105
0,high,14,Q28_6,0.099
0,high,15,Q1_1,0.098
0,low,1,Q12A_2,-0.447
0,low,2,Q13A_2,-0.445
0,low,3,Q13A_1,-0.444
0,low,4,Q12A_3,-0.444
0,low,5,Q13A_5,-0.44
0,low,6,Q15A_2,-0.431
0,low,7,Q11_1,-0.43
0,low,8,Q15A_1,-0.43
0,low,9,Q14A_2,-0.425
0,low,10,Q16A_1,-0.419
0,low,11,Q13A_4,-0.418
0,low,12,Q13A_3,-0.417
0,low,13,Q14A_4,-0.417
0,low,14,Q16A_2,-0.413
0,low,15,Q18A_4,-0.412
1,high,1,Q6_5,0.833
1,high,2,Q6_4,0.807
1,high,3,Q6_2,0.8
1,high,4,Q6_3,0.795
1,high,5,Q6_1,0.794
1,high,6,Q9_3,0.788
1,high,7,Q9_4,0.779
1,high,8,Q8_3,0.772
1,high,9,Q7_3,0.771
1,high,10,Q6_7,0.769
1,high,11,Q9_5,0.767
1,high,12,Q8_2,0.763
1,high,13,Q8_5,0.75
1,high,14,Q9_1,0.742
1,high,15,Q8_1,0.741
1,low,1,Q31_1,-0.625
1,low,2,Q25,-0.554
1,low,3,Q1_2,-0.337
1,low,4,Q10,-0.285
1,low,5,Q30,-0.253
1,low,6,Q1_1,-0.247
1,low,7,Q28_5,-0.247
1,low,8,Q28_2,-0.245
1,low,9,Q17A_3,-0.235
1,low,10,Q17A_2,-0.219
1,low,11,Q17A_4,-0.201
1,low,12,Q5_5,-0.2
1,low,13,Q18A_2,-0.149
1,low,14,Q17A_1,-0.145
1,low,15,Q5_2,-0.137
2,high,1,Q10,0.795
2,high,2,Q31_1,0.744
2,high,3,Q25,0.719
2,high,4,Q30,0.512
2,high,5,Q1_1,0.434
2,high,6,Q1_2,0.381
2,high,7,Q28_5,0.248
2,high,8,Q28_2,0.205
2,high,9,Q28_6,0.118
2,high,10,Q28_3,0.07
2,high,11,Q28_7,0.059
2,high,12,Q28_4,0.056
2,high,13,Q5_2,0.019
2,high,14,Q5_5,-0.009
2,high,15,Q28_1,-0.021
2,low,1,Q8_6,-1.256
2,low,2,Q8_9,-1.254
2,low,3,Q8_8,-1.22
2,low,4,Q9_1,-1.206
2,low,5,Q7_5,-1.194
2,low,6,Q8_1,-1.175
2,low,7,Q7_2,-1.161
2,low,8,Q7_7,-1.144
2,low,9,Q8_7,-1.138
2,low,10,Q7_3,-1.13
2,low,11,Q7_4,-1.123
2,low,12,Q7_1,-1.116
2,low,13,Q6_5,-1.101
2,low,14,Q8_3,-1.096
2,low,15,Q9_2,-1.087
3,high,1,Q17A_1,1.501
3,high,2,Q17A_2,1.475
3,high,3,Q15A_1,1.474
3,high,4,Q17A_4,1.453
3,high,5,Q17A_3,1.447
3,high,6,Q13A_3,1.431
3,high,7,Q18A_2,1.428
3,high,8,Q18A_1,1.424
3,high,9,Q15A_2,1.414
3,high,10,Q13A_1,1.398
3,high,11,Q13A_4,1.394
3,high,12,Q18A_4,1.393
3,high,13,Q18A_3,1.388
3,high,14,Q16A_2,1.378
3,high,15,Q16A_1,1.368
3,low,1,Q25,-0.663
3,low,2,Q30,-0.51
3,low,3,Q1_2,-0.506
3,low,4,Q31_1,-0.454
3,low,5,Q1_1,-0.399
3,low,6,Q28_4,-0.319
3,low,7,Q28_2,-0.316
3,low,8,Q10,-0.307
3,low,9,Q28_3,-0.303
3,low,10,Q28_5,-0.274
3,low,11,Q28_1,-0.163
3,low,12,Q28_6,-0.156
3,low,13,Q5_2,-0.094
3,low,14,Q28_7,-0.063
3,low,15,Q3,0.033
