feature,importance_split,importance_gain
AI_사용빈도,166,1146.4275576025248
AI_도움정도,124,210.4096607454121
Q13A_2,107,2613.927551880479
Q9_2,101,2319.2994470521808
Q11_1,100,638.8211470991373
Q8_5,97,2862.3540477007627
Q14B_3,95,215.35026441514492
Q9_3,90,722.3676406815648
Q12B_3,90,220.75029957294464
Q16B_2,88,450.26594230532646
Q8_4,88,4168.275129929185
Q12A_2,88,2726.0867553800344
Q8_3,88,2739.4320114180446
Q9_5,87,1039.1028945557773
Q14B_4,86,365.1094865426421
Q9_7,84,497.22005082666874
Q6_7,84,1354.2490667253733
Q6_6,84,1602.7246350497007
Q8_2,83,427.0094780176878
Q6_1,83,472.88079226017
Q14A_2,82,2763.040503323078
Q7_3,82,3134.948914438486
Q12A_3,81,3255.3942037262022
Q13B_5,81,454.03220169246197
Q18B_4,81,483.8187196403742
Q14A_3,81,463.2891199067235
Q14A_1,80,263.93658481538296
Q14A_4,79,1948.2934963554144
Q16A_2,79,608.0463792383671
Q18B_1,79,751.8751097992063
Q7_5,79,784.1643568277359
Q6_4,79,1351.344864487648
Q12A_4,79,630.580331645906
Q18A_3,78,1476.9415193498135
Q16A_1,77,1484.1578494608402
Q18A_4,75,2007.4763538092375
Q18B_3,74,493.99795727431774
Q15A_2,74,4448.322537843138
Q7_6,74,500.2796524912119
Q8_9,74,1367.6369206607342
Q13B_1,72,338.230988048017
Q19_3,72,620.9484757632017
Q7_7,72,1256.5907391756773
Q13B_2,72,201.15324753895402
Q6_3,71,1633.0923055708408
Q7_1,71,182.3820906728506
Q9_8,71,673.7316049337387
Q19_4,69,403.6978170275688
Q14B_2,69,368.8950192630291
Q18A_1,69,634.4433609433472
Q15B_1,68,295.3015082478523
Q12B_2,68,285.10718777775764
Q6_2,68,873.6370298601687
Q17B_1,68,298.2621259652078
Q17A_1,67,2251.982758268714
Q15A_1,66,3044.1839315220714
Q13A_4,66,7105.537563458085
Q9_6,65,247.49270992726088
Q14B_5,64,207.637275531888
Q12B_4,64,276.1560730189085
Q7_2,64,394.016338378191
Q9_1,64,13234.934038683772
Q8_6,64,7042.26232033968
Q13A_3,63,728.1955784000456
Q9_9,62,509.6986469849944
Q15B_2,62,397.259437546134
Q13A_5,61,2925.262982800603
Q12A_1,61,429.75306225568056
Q9_4,60,1028.0074296593666
Q7_4,60,196.13226128928363
Q6_5,58,9354.710302829742
Q13B_3,58,142.38515612483025
Q14A_5,58,662.4428363218904
Q16B_1,58,172.05505926907063
Q13B_4,57,449.8699935376644
Q18B_2,56,248.40818479657173
Q5_1,56,84.85338523983955
Q8_8,56,587.1000820249319
Q14B_1,56,340.14653123915195
Q18A_2,55,532.7399099469185
Q17A_2,54,623.1304635852575
Q19_1,54,359.4586786478758
Q11_2,53,73.84656918048859
Q8_1,52,385.06706446409225
Q17A_4,52,543.6204606294632
Q13A_1,51,11378.983739065041
Q17A_3,51,1028.289275497198
AI_인지,51,79.83346761763096
Q17B_4,51,175.44995534420013
Q19_5,47,97.19301411136985
Q19_2,46,72.00372402369976
Q12B_1,44,222.33793039619923
Q17B_2,44,402.1072383001447
Q17B_3,43,122.90104550123215
Q8_7,43,178.2168838828802
Q1_2,42,67.64022656157613
Q2K2_2,41,177.1189635694027
Q11_3,34,134.86930882930756
Q2K2_1,31,84.8723957836628
Q22_1,29,72.47934643365443
Q4B_1_1,27,34.008611127734184
Q4B_2_1,26,24.675597831606865
Q5_2,26,15.963809167966247
Q22_3,26,36.304451912641525
Q5_3,23,17.46281611174345
Q1_1,19,29.437425047159195
Q22_4,18,19.51369619369507
Q4C_1,18,16.85003300756216
Q22_2,18,21.785472124814987
Q4C_2,17,17.035328835248947
Q5_4,16,17.73771920055151
Q21_1,15,13.334141880273819
Q21_4,14,18.583548843860626
Q5_5,10,4.801182955503464
Q21_3,10,5.9350739642977715
Q10,8,8.234718099236488
Q21_2,7,2.9404740035533905
Q3,0,0.0
