trial,val_f1_macro,learning_rate,num_leaves,max_depth,n_estimators
0,0.9739754523854071,0.1205712628744377,115,12,650
1,0.9692690046117015,0.020589728197687916,249,11,250
2,0.9772036715941526,0.04717052037625178,96,6,800
3,0.9737617210755505,0.1563510870813346,244,12,350
4,0.9745961362189987,0.028869220380495747,89,9,550
5,0.9191100773649428,0.01947558230629543,238,3,100
6,0.9763591121240061,0.012886065671894011,62,11,1000
7,0.9759967302581788,0.014830392684568025,47,6,900
8,0.9748282183500221,0.015019490572374374,230,7,750
9,0.9800397773069885,0.08710745900492396,55,3,350
10,0.9789870371729483,0.27047297227177763,166,3,500
11,0.9768885675070748,0.2835379420159523,169,3,450
12,0.979051537665855,0.08454827178799088,168,4,250
13,0.9736167031113346,0.07012110911260402,155,5,200
14,0.9793965478147982,0.07428625740419662,197,5,350
15,0.97649511492275,0.043978458139766696,199,8,400
16,0.9809583935207166,0.1498330044575455,127,5,350
17,0.9804907442478097,0.16405364360419358,137,5,600
18,0.9816398786774676,0.16161445557774798,130,5,600
19,0.9783978685852555,0.1974562766868413,121,7,700
