feature,used_for_kmeans,used_for_models,label
Q1_1,TRUE,TRUE,문1. 필요시 이용 가능한 PC 보유율_1)데스크탑
Q1_2,TRUE,TRUE,문1. 필요시 이용 가능한 PC 보유율_2)노트북
Q2K2_1,TRUE,TRUE,문2. 모바일기기 보유율_2)스마트패드
Q2K2_2,TRUE,TRUE,문2. 모바일기기 보유율_3)스마트 주변기기
Q3,TRUE,TRUE,문3. 가구 내 인터넷 이용 가능 여부
Q4B_1_1,TRUE,TRUE,문4. 결합상품 가입 여부_유무선 인터넷
Q4B_2_1,TRUE,TRUE,문4. 결합상품 가입 여부_모바일 이동통신
Q4C_1,TRUE,TRUE,문4. 이용요금 부담 정도_유무선 인터넷 이용료
Q4C_2,TRUE,TRUE,문4. 이용요금 부담 정도_모바일 이동통신 이용료
Q5_1,TRUE,TRUE,문5. 디지털기기 이용 시 문제 해결 방안- 스스로 문제를 해결
Q5_2,TRUE,TRUE,문5. 디지털기기 이용 시 문제 해결 방안- 가족 도움 요청
Q5_3,TRUE,TRUE,문5. 디지털기기 이용 시 문제 해결 방안- 친구 또는 지인 도움 요청
Q5_4,TRUE,TRUE,문5. 디지털기기 이용 시 문제 해결 방안- 전문 인력 이용
Q5_5,TRUE,TRUE,문5. 디지털기기 이용 시 문제 해결 방안- 정부나 공공기관 도움
Q6_1,TRUE,TRUE,문6. PC 이용 능력_1) 나는 필요한 프로그램(소프트웨어)을 컴퓨터에 설치/삭제/업데이트 할 수 있다
Q6_2,TRUE,TRUE,문6. PC 이용 능력_2) 나는 PC에 유선 또는 무선 인터넷을 스스로 연결해서 사용할 수 있다
Q6_3,TRUE,TRUE,"문6. PC 이용 능력_3) 나는 웹 브라우저(크롬, 사파리, 엣지, 웨일 등)에서 내가 원하는 환경을 설정할 수 있다"
Q6_4,TRUE,TRUE,"문6. PC 이용 능력_4) 나는 PC에 다양한 외장기기(디지털 카메라, 프린터, 스캐너, USB 외장하드 등)를 연결하여 이용할 수 있다"
Q6_5,TRUE,TRUE,문6. PC 이용 능력_5) 나는 PC에 있는 파일을 인터넷을 통해 다른 사람에게 전송할 수 있다
Q6_6,TRUE,TRUE,"문6. PC 이용 능력_6) 나는 PC의 악성코드(바이러스, 스파이웨어 등)를 검사/치료할 수 있다"
Q6_7,TRUE,TRUE,"문6. PC 이용 능력_7) 나는 PC에서 문서(한글, 엑셀, 파워포인트 등) 등을 작성할 수 있다"
Q7_1,TRUE,TRUE,문7. 모바일기기 이용 능력_1) 나는 스마트기기에서 디스플레이/소리/보안/알림/입력방법 등의 환경설정을 할 수 있다
Q7_2,TRUE,TRUE,"문7. 모바일기기 이용 능력_2) 나는 스마트기기에서 무선 랜(와이파이, 기가와이파이 포함) 설정을 할 수 있다"
Q7_3,TRUE,TRUE,문7. 모바일기기 이용 능력_3) 나는 스마트기기에 있는 파일을 PC로 옮길 수 있다
Q7_4,TRUE,TRUE,문7. 모바일기기 이용 능력_4) 나는 스마트기기에 있는 파일/사진 등을 다른 사람에게 전송할 수 있다
Q7_5,TRUE,TRUE,문7. 모바일기기 이용 능력_5) 나는 앱을 스마트기기에 설치/삭제/업데이트할 수 있다
Q7_6,TRUE,TRUE,"문7. 모바일기기 이용 능력_6) 나는 스마트기기의 악성코드(바이러스, 스파이웨어 등)를 검사/치료할 수 있다"
Q7_7,TRUE,TRUE,"문7. 모바일기기 이용 능력_7) 나는 스마트기기에서 문서(메모장, 워드)를 작성할 수 있다"
Q8_1,TRUE,TRUE,문8. 디지털 역량 진단지수 중 활용역량- 1) 스마트기기 도구용 앱 이용
Q8_2,TRUE,TRUE,문8. 디지털 역량 진단지수 중 활용역량- 2) 비대면 원격회의앱을 통해 회의 개최/참여
Q8_3,TRUE,TRUE,"문8. 디지털 역량 진단지수 중 활용역량- 3) 스마트워치, 스마트냉장고, 사물인터넷 기기 이용"
Q8_4,TRUE,TRUE,문8. 디지털 역량 진단지수 중 활용역량- 4) 디지털콘텐츠 파일 편집 또는 형식 변경
Q8_5,TRUE,TRUE,문8. 디지털 역량 진단지수 중 활용역량- 5) 과제나 업무를 위한 협업
Q8_6,TRUE,TRUE,문8. 디지털 역량 진단지수 중 활용역량- 6) 온라인 간편결제를 이용한 물건 구매
Q8_7,TRUE,TRUE,"문8. 디지털 역량 진단지수 중 활용역량- 7) 네비게이션, 온라인 지도서비스 및 교통정보 이용"
Q8_8,TRUE,TRUE,문8. 디지털 역량 진단지수 중 활용역량- 8) 키오스크 이용
Q8_9,TRUE,TRUE,문8. 디지털 역량 진단지수 중 활용역량- 9) 공인인증서 또는 휴대폰 인증 이용
Q9_1,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 1) 커뮤니티를 찾아 참여
Q9_2,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 2) 정치/사회 문제 토론 또는 온라인기반 사회/행정서비스로 의견 개진
Q9_3,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 3) PC 및 스마트폰 보안설정
Q9_4,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 4) 쿠키 및 방문기록 삭제
Q9_5,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 5) 개인정보 및 게시글에 대한 공개범위 파악/설정
Q9_6,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 6) 권리 침해 시 조치 또는 신고 방법 인지
Q9_7,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 7) 검색을 통해 믿을만한 정보 찾기
Q9_8,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 8) 가짜뉴스를 가려내기 위해 참고자료나 추가정보 검색
Q9_9,TRUE,TRUE,문9. 디지털역량 진단지수 중 참여/예방/소양역량- 9) 유해한 정보를 거리는 데 필요한 스마트폰의 설정변경 기능 사용
Q10,TRUE,TRUE,문10. 최근 인터넷 이용 시기
Q11_1,TRUE,TRUE,"문11. 최근 한 달 이용 일수_1) PC(데스크탑, 노트북)"
Q11_2,TRUE,TRUE,문11. 최근 한 달 이용 일수_2) 스마트폰
Q11_3,TRUE,TRUE,문11. 최근 한 달 이용 일수_3) 스마트패드(태블릿PC)
Q12A_1,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_PC_1) 정보 및 뉴스 검색"
Q12A_2,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_PC_2) 이메일"
Q12A_3,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_PC_3) 미디어콘텐츠(영화/음악/전자책 등)"
Q12A_4,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_PC_4) 교육콘텐츠(각종 강좌/강의수강 등)"
Q12B_1,TRUE,TRUE,"문12. 검색 및 이메일, 콘텐츠 서비스 이용 비율_모바일_1) 정보 및 뉴스 검색"
